antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'Anastasia Beverly Hills'}),frozenset({'Charlotte Tilbury'}),0.11557788944723618,0.5979899497487438,0.07537688442211055,0.6521739130434782,1.0906101571063205,1.0,0.0062624681194919235,1.1557788944723613,0.09393939393939382,0.11811023622047244,0.13478260869565184,0.3891121666057727,Anastasia Beverly Hills,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Anastasia Beverly Hills'}),0.5979899497487438,0.11557788944723618,0.07537688442211055,0.1260504201680672,1.0906101571063205,1.0,0.0062624681194919235,1.0119829918824894,0.20666666666666644,0.11811023622047244,0.011841100076394157,0.3891121666057727,Charlotte Tilbury,Anastasia Beverly Hills
frozenset({'Anastasia Beverly Hills'}),frozenset({'Make Up By Mario'}),0.11557788944723618,0.2814070351758794,0.05025125628140704,0.4347826086956522,1.5450310559006213,1.0,0.017726825080174743,1.271356783919598,0.3988636363636363,0.14492753623188406,0.21343873517786568,0.3066770186335404,Anastasia Beverly Hills,Make Up By Mario
frozenset({'Make Up By Mario'}),frozenset({'Anastasia Beverly Hills'}),0.2814070351758794,0.11557788944723618,0.05025125628140704,0.17857142857142858,1.545031055900621,1.0,0.017726825080174743,1.0766877867598865,0.4909090909090909,0.14492753623188406,0.07122564935064934,0.3066770186335404,Make Up By Mario,Anastasia Beverly Hills
frozenset({'Charlotte Tilbury'}),frozenset({'Benefit Cosmetics'}),0.5979899497487438,0.1407035175879397,0.09045226130653267,0.15126050420168066,1.0750300120048017,1.0,0.006312971894649119,1.0124384297726257,0.17361111111111094,0.13953488372093023,0.012285616000786268,0.3970588235294118,Charlotte Tilbury,Benefit Cosmetics
frozenset({'Benefit Cosmetics'}),frozenset({'Charlotte Tilbury'}),0.1407035175879397,0.5979899497487438,0.09045226130653267,0.6428571428571429,1.075030012004802,1.0,0.006312971894649119,1.1256281407035176,0.08122157244964254,0.13953488372093023,0.11160714285714289,0.3970588235294118,Benefit Cosmetics,Charlotte Tilbury
frozenset({'Fenty Beauty'}),frozenset({'Benefit Cosmetics'}),0.23115577889447236,0.1407035175879397,0.05527638190954774,0.2391304347826087,1.6995341614906834,1.0,0.022751950708315448,1.1293610911701364,0.5353535353535354,0.17460317460317462,0.11454360539028731,0.31599378881987583,Fenty Beauty,Benefit Cosmetics
frozenset({'Benefit Cosmetics'}),frozenset({'Fenty Beauty'}),0.1407035175879397,0.23115577889447236,0.05527638190954774,0.3928571428571429,1.6995341614906834,1.0,0.022751950708315448,1.2663316582914574,0.47900053163211054,0.17460317460317462,0.21031746031746038,0.31599378881987583,Benefit Cosmetics,Fenty Beauty
frozenset({'Make Up By Mario'}),frozenset({'Benefit Cosmetics'}),0.2814070351758794,0.1407035175879397,0.05025125628140704,0.17857142857142858,1.2691326530612246,1.0,0.010656296558167723,1.046100065545117,0.29510489510489507,0.13513513513513514,0.04406850459482039,0.26785714285714285,Make Up By Mario,Benefit Cosmetics
frozenset({'Benefit Cosmetics'}),frozenset({'Make Up By Mario'}),0.1407035175879397,0.2814070351758794,0.05025125628140704,0.35714285714285715,1.2691326530612246,1.0,0.010656296558167723,1.1178112786152987,0.24678362573099413,0.13513513513513514,0.1053946053946054,0.26785714285714285,Benefit Cosmetics,Make Up By Mario
frozenset({'Benefit Cosmetics'}),frozenset({'Rare Beauty'}),0.1407035175879397,0.35175879396984927,0.05527638190954774,0.3928571428571429,1.1168367346938777,1.0,0.005782682255498599,1.0676913981673073,0.12174375332270068,0.12643678160919541,0.06339977851605762,0.275,Benefit Cosmetics,Rare Beauty
frozenset({'Rare Beauty'}),frozenset({'Benefit Cosmetics'}),0.35175879396984927,0.1407035175879397,0.05527638190954774,0.15714285714285714,1.1168367346938775,1.0,0.005782682255498599,1.0195043011668512,0.1613812544045102,0.12643678160919541,0.01913116123642439,0.275,Rare Beauty,Benefit Cosmetics
frozenset({'Benefit Cosmetics'}),frozenset({'Too Faced'}),0.1407035175879397,0.1306532663316583,0.05527638190954774,0.3928571428571429,3.006868131868132,1.0,0.03689300775232949,1.431865208394916,0.7767145135566188,0.2558139534883721,0.3016102394715112,0.40796703296703296,Benefit Cosmetics,Too Faced
frozenset({'Too Faced'}),frozenset({'Benefit Cosmetics'}),0.1306532663316583,0.1407035175879397,0.05527638190954774,0.4230769230769231,3.006868131868132,1.0,0.03689300775232949,1.4894472361809048,0.7677351550183921,0.2558139534883721,0.32860998650472334,0.40796703296703296,Too Faced,Benefit Cosmetics
frozenset({'Charlotte Tilbury'}),frozenset({'Dior Beauty'}),0.5979899497487438,0.19597989949748743,0.15577889447236182,0.2605042016806723,1.3292393880629176,1.0,0.038584884220095456,1.0872544540886249,0.6161290322580646,0.2440944881889764,0.08025210084033617,0.5276879982762336,Charlotte Tilbury,Dior Beauty
frozenset({'Dior Beauty'}),frozenset({'Charlotte Tilbury'}),0.19597989949748743,0.5979899497487438,0.15577889447236182,0.7948717948717949,1.3292393880629174,1.0,0.038584884220095456,1.9597989949748749,0.30806451612903224,0.2440944881889764,0.48974358974358984,0.5276879982762336,Dior Beauty,Charlotte Tilbury
frozenset({'Drunk Elephant'}),frozenset({'Charlotte Tilbury'}),0.12562814070351758,0.5979899497487438,0.07035175879396985,0.56,0.9364705882352942,1.0,-0.004772606752354733,0.9136592051164916,-0.07199999999999991,0.10769230769230768,-0.09449999999999996,0.33882352941176475,Drunk Elephant,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Drunk Elephant'}),0.5979899497487438,0.12562814070351758,0.07035175879396985,0.11764705882352941,0.9364705882352942,1.0,-0.004772606752354733,0.9909547738693468,-0.14438502673796777,0.10769230769230768,-0.009127789046653133,0.33882352941176475,Charlotte Tilbury,Drunk Elephant
frozenset({'Fenty Beauty'}),frozenset({'Charlotte Tilbury'}),0.23115577889447236,0.5979899497487438,0.15577889447236182,0.6739130434782609,1.1269638290098647,1.0,0.017550061867124572,1.2328308207705192,0.1465317309719587,0.23134328358208955,0.18885869565217384,0.4672086225794666,Fenty Beauty,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Fenty Beauty'}),0.5979899497487438,0.23115577889447236,0.15577889447236182,0.2605042016806723,1.126963829009865,1.0,0.017550061867124572,1.0396870717222475,0.28024193548387105,0.23134328358208955,0.038172131597737156,0.4672086225794666,Charlotte Tilbury,Fenty Beauty
frozenset({'Glow Recipe'}),frozenset({'Charlotte Tilbury'}),0.07537688442211055,0.5979899497487438,0.05527638190954774,0.7333333333333334,1.2263305322128852,1.0,0.01020176258175299,1.5075376884422114,0.19960474308300402,0.08943089430894309,0.3366666666666668,0.4128851540616247,Glow Recipe,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Glow Recipe'}),0.5979899497487438,0.07537688442211055,0.05527638190954774,0.09243697478991597,1.2263305322128852,1.0,0.01020176258175299,1.0187976921645263,0.4590909090909092,0.08943089430894309,0.018450858604311303,0.4128851540616247,Charlotte Tilbury,Glow Recipe
frozenset({'Charlotte Tilbury'}),frozenset({'Hourglass'}),0.5979899497487438,0.19597989949748743,0.15577889447236182,0.2605042016806723,1.3292393880629176,1.0,0.038584884220095456,1.0872544540886249,0.6161290322580646,0.2440944881889764,0.08025210084033617,0.5276879982762336,Charlotte Tilbury,Hourglass
frozenset({'Hourglass'}),frozenset({'Charlotte Tilbury'}),0.19597989949748743,0.5979899497487438,0.15577889447236182,0.7948717948717949,1.3292393880629174,1.0,0.038584884220095456,1.9597989949748749,0.30806451612903224,0.2440944881889764,0.48974358974358984,0.5276879982762336,Hourglass,Charlotte Tilbury
frozenset({'Huda Beauty'}),frozenset({'Charlotte Tilbury'}),0.2562814070351759,0.5979899497487438,0.17587939698492464,0.6862745098039216,1.1476355247981544,1.0,0.022625691270422466,1.2814070351758793,0.17297297297297295,0.25925925925925924,0.21960784313725484,0.4901960784313726,Huda Beauty,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Huda Beauty'}),0.5979899497487438,0.2562814070351759,0.17587939698492464,0.29411764705882354,1.1476355247981547,1.0,0.022625691270422466,1.053601340033501,0.32,0.25925925925925924,0.0508744038155803,0.4901960784313726,Charlotte Tilbury,Huda Beauty
frozenset({'Lancôme'}),frozenset({'Charlotte Tilbury'}),0.08040201005025126,0.5979899497487438,0.05527638190954774,0.6875,1.1496848739495797,1.0,0.007196787959900003,1.28643216080402,0.14157973174366617,0.08870967741935484,0.22265624999999994,0.389968487394958,Lancôme,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Lancôme'}),0.5979899497487438,0.08040201005025126,0.05527638190954774,0.09243697478991597,1.14968487394958,1.0,0.007196787959900003,1.0132607481853713,0.32386363636363635,0.08870967741935484,0.01308720209395234,0.389968487394958,Charlotte Tilbury,Lancôme
frozenset({'Charlotte Tilbury'}),frozenset({'MAC Cosmetics'}),0.5979899497487438,0.07035175879396985,0.05527638190954774,0.09243697478991597,1.3139255702280914,1.0,0.013206737203605969,1.0243346361436814,0.5943181818181817,0.09016393442622951,0.023756529638882584,0.4390756302521009,Charlotte Tilbury,MAC Cosmetics
frozenset({'MAC Cosmetics'}),frozenset({'Charlotte Tilbury'}),0.07035175879396985,0.5979899497487438,0.05527638190954774,0.7857142857142858,1.3139255702280914,1.0,0.013206737203605969,1.87604690117253,0.257002457002457,0.09016393442622951,0.4669642857142859,0.4390756302521009,MAC Cosmetics,Charlotte Tilbury
frozenset({'Make Up By Mario'}),frozenset({'Charlotte Tilbury'}),0.2814070351758794,0.5979899497487438,0.20100502512562815,0.7142857142857143,1.1944777911164466,1.0,0.032726446301861056,1.4070351758793969,0.22657342657342652,0.2962962962962963,0.28928571428571426,0.5252100840336135,Make Up By Mario,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Make Up By Mario'}),0.5979899497487438,0.2814070351758794,0.20100502512562815,0.3361344537815126,1.1944777911164466,1.0,0.032726446301861056,1.082437503975574,0.4049999999999999,0.2962962962962963,0.07615913498266436,0.5252100840336135,Charlotte Tilbury,Make Up By Mario
frozenset({'Charlotte Tilbury'}),frozenset({'NARS'}),0.5979899497487438,0.15577889447236182,0.10552763819095477,0.1764705882352941,1.1328273244781781,1.0,0.012373424913512274,1.0251256281407035,0.2916666666666664,0.1627906976744186,0.0245098039215686,0.42694497153700184,Charlotte Tilbury,NARS
frozenset({'NARS'}),frozenset({'Charlotte Tilbury'}),0.15577889447236182,0.5979899497487438,0.10552763819095477,0.6774193548387096,1.1328273244781781,1.0,0.012373424913512274,1.246231155778894,0.13888888888888876,0.1627906976744186,0.19758064516129015,0.42694497153700184,NARS,Charlotte Tilbury
frozenset({'Natasha Denona'}),frozenset({'Charlotte Tilbury'}),0.08040201005025126,0.5979899497487438,0.05025125628140704,0.625,1.0451680672268906,1.0,0.0021716623317592984,1.0720268006700167,0.04699453551912567,0.08,0.06718749999999991,0.3545168067226891,Natasha Denona,Charlotte Tilbury
frozenset({'Charlotte Tilbury'}),frozenset({'Natasha Denona'}),0.5979899497487438,0.08040201005025126,0.05025125628140704,0.08403361344537814,1.0451680672268906,1.0,0.0021716623317592984,1.003964778018533,0.10749999999999997,0.08,0.003949120631859292,0.3545168067226891,Charlotte Tilbury,Natasha Denona
frozenset({'Charlotte Tilbury'}),frozenset({'Patrick Ta Beauty'}),0.5979899497487438,0.12060301507537688,0.07035175879396985,0.11764705882352941,0.9754901960784313,1.0,-0.0017676321305017534,0.9966499162479062,-0.05882352941176465,0.10852713178294573,-0.003361344537815122,0.3504901960784314,Charlotte Tilbury,Patrick Ta Beauty
